-176,-218,278,-152,-205,281,148,765,-283,-83,1,-96,-167,60,49,9,3958,2067,994
-2014,-2744,-2202,-2014,-2744,-2202,185,759,-278,151,454,87,-183,-257,367,9,3958,2067,994
1683,-1927,290,1683,-1927,290,-380,284,-131,109,469,61,-247,-203,328,9,3958,2067,994
-2609,2446,-2983,-2609,2446,-2983,-111,196,-143,25,515,42,-289,-136,272,9,3958,2067,994
-2609,2446,-2983,-289,-136,272,122,-47,-17,-41,563,0,-305,-89,214,9,3958,2067,994
125,109,-47,125,109,-47,326,-430,208,14,570,-106,-307,-67,119,9,3958,2067,994
153,88,-63,153,88,-63,318,-401,189,95,532,-156,-305,-88,86,9,3958,2067,994
183,77,-90,183,77,-90,269,-313,171,191,471,-188,-308,-121,62,9,3958,2067,994
253,52,-148,253,52,-148,141,-174,139,342,349,-204,-313,-210,51,9,3958,2067,994
281,41,-171,281,41,-171,63,-128,89,395,270,-203,-305,-237,53,9,3958,2067,994
295,30,-197,295,30,-197,-9,-93,51,433,176,-202,-287,-238,58,9,3958,2067,994
298,15,-230,298,15,-230,-61,-72,23,449,70,-207,-259,-225,62,9,3958,2067,994
308,-30,-314,308,-30,-314,-85,-70,4,410,-130,-229,-187,-172,71,9,3958,2067,994
326,-65,-353,326,-65,-353,-80,-78,4,373,-222,-258,-155,-146,69,9,3958,2067,994
345,-104,-391,345,-104,-391,-70,-78,10,318,-327,-285,-133,-125,66,9,3958,2067,994
368,-146,-428,368,-146,-428,-68,-71,25,244,-437,-293,-122,-108,60,9,3958,2067,994
390,-247,-498,390,-247,-498,-80,-55,41,103,-616,-269,-132,-100,44,9,3958,2067,994
380,-295,-525,380,-295,-525,-98,-62,38,3,-662,-232,-148,-105,38,9,3958,2067,994
356,-338,-540,356,-338,-540,-122,-83,31,-205,-724,-152,-165,-111,35,9,3958,2067,994
318,-376,-536,318,-376,-536,-143,-109,27,-337,-779,-74,-179,-106,38,9,3958,2067,994
214,-439,-476,214,-439,-476,-154,-147,48,-356,-720,142,-183,-74,59,9,3958,2067,994
158,-461,-425,158,-461,-425,-149,-157,54,-309,-639,167,-169,-61,79,9,3958,2067,994
103,-480,-371,103,-480,-371,-141,-164,66,-240,-580,148,-153,-56,102,9,3958,2067,994
50,-493,-316,50,-493,-316,-141,-173,79,-150,-505,96,-137,-46,121,9,3958,2067,994
0,-500,-266,0,-500,-266,-157,-176,84,-92,-309,-8,-123,-33,130,9,3958,2067,994
-80,-489,-186,-80,-489,-186,-191,-138,97,-4,122,-79,-112,12,113,9,3958,2067,994
-102,-466,-143,-102,-466,-143,-167,-115,110,8,198,-46,-108,51,95,9,3958,2067,994
-115,-432,-92,-115,-432,-92,-112,-110,133,8,198,-46,-108,51,95,9,3958,2067,994
-127,-389,-34,-127,-389,-34,-112,-110,133,77,33,-49,40,62,115,9,3958,2067,994
-169,-315,76,-169,-315,76,6,-460,175,66,26,-43,53,39,107,9,3958,2067,994
-169,-315,76,53,39,107,-75,-447,203,52,31,-46,62,27,104,9,3958,2067,994
-11,-143,121,-11,-143,121,-157,-436,230,40,34,-43,70,15,102,9,3958,2067,994
67,-50,68,67,-50,68,-343,-433,239,-14,36,-53,76,-7,94,9,3958,2067,994
95,-12,43,95,-12,43,-402,-400,227,-68,52,-58,75,-19,87,9,3958,2067,994
112,14,17,112,14,17,-453,-374,241,-135,84,-59,71,-33,78,9,3958,2067,994
120,32,-10,120,32,-10,-537,-370,298,-196,131,-52,62,-52,69,9,3958,2067,994
141,48,-53,141,48,-53,-1083,-114,306,-209,243,-28,27,-93,48,9,3958,2067,994
159,55,-69,159,55,-69,-1463,245,306,-151,283,-28,-2,-110,35,9,3958,2067,994
180,72,-90,180,72,-90,-1764,555,396,-39,284,-25,-55,-131,32,9,3958,2067,994
207,94,-118,207,94,-118,-1617,804,563,131,228,-31,-136,-137,59,9,3958,2067,994
298,146,-143,298,146,-143,-492,927,88,429,-8,-17,-252,18,226,9,3958,2067,994
322,165,-128,322,165,-128,141,810,-158,481,-104,-5,-275,115,305,9,3958,2067,994
298,169,-103,298,169,-103,577,619,-320,493,-131,-12,-286,185,323,9,3958,2067,994
241,169,-72,241,169,-72,564,348,-360,501,-71,-15,-250,263,308,9,3958,2067,994
131,183,-23,131,183,-23,-167,-259,35,524,132,27,-131,384,240,9,3958,2067,994
112,191,-10,112,191,-10,-432,-399,210,525,145,19,-93,401,202,9,3958,2067,994
111,179,-8,111,179,-8,-488,-433,213,531,102,4,-78,412,187,9,3958,2067,994
117,145,-22,117,145,-22,-379,-388,207,523,54,-24,-92,411,171,9,3958,2067,994
124,93,-48,124,93,-48,-244,-328,230,480,-13,-54,-119,406,166,9,3958,2067,994
134,-28,-130,134,-28,-130,-102,-198,186,365,-153,-98,-184,354,173,9,3958,2067,994
126,-93,-170,126,-93,-170,-62,-122,131,337,-209,-117,-187,315,176,9,3958,2067,994
107,-157,-200,107,-157,-200,-39,-48,76,322,-257,-138,-173,274,177,9,3958,2067,994
80,-215,-218,80,-215,-218,-30,5,38,301,-295,-160,-154,237,174,9,3958,2067,994
2,-297,-230,2,-297,-230,-45,46,8,63,-24,-82,101,90,130,9,3958,2067,994
-35,-321,-235,-35,-321,-235,-45,46,8,89,-50,-65,138,113,106,9,3958,2067,994
-74,-335,-244,-74,-335,-244,485,-142,107,203,-106,-40,172,122,92,9,3958,2067,994
17,113,204,17,113,204,307,-326,57,388,-196,-19,244,90,67,9,3958,2067,994
25,120,290,25,120,290,218,-385,5,346,-197,-23,288,58,62,9,3958,2067,994
27,130,375,27,130,375,98,-434,-59,234,-162,-36,325,25,62,9,3958,2067,994
25,141,447,25,141,447,-26,-475,-113,119,-112,-60,353,-9,62,9,3958,2067,994
-3,161,549,-3,161,549,-123,-555,-121,-27,-35,-71,351,-39,69,9,3958,2067,994
-26,169,585,-26,169,585,-98,-602,-126,-41,-22,-69,333,-51,77,9,3958,2067,994
-54,176,613,-54,176,613,-80,-638,-148,-11,-23,-72,314,-61,80,9,3958,2067,994
-77,178,629,-77,178,629,-88,-656,-174,24,-27,-71,299,-69,86,9,3958,2067,994
-107,176,626,-107,176,626,-126,-650,-178,56,-35,-63,277,-84,98,9,3958,2067,994
-123,170,613,-123,170,613,-154,-636,-152,58,-34,-65,262,-87,100,9,3958,2067,994
-135,159,592,-135,159,592,-205,-614,-117,56,-35,-70,247,-84,97,9,3958,2067,994
-144,142,561,-144,142,561,-272,-566,-65,59,-35,-75,226,-77,89,9,3958,2067,994
-157,92,463,-157,92,463,-411,-439,36,83,-24,-88,196,-56,65,9,3958,2067,994
-158,57,402,-158,57,402,-461,-327,59,86,-8,-91,186,-47,52,9,3958,2067,994
-155,18,337,-155,18,337,-468,-204,93,90,10,-97,178,-44,39,9,3958,2067,994
-150,-22,267,-150,-22,267,-462,-96,151,91,24,-101,168,-47,32,9,3958,2067,994
-139,-63,196,-139,-63,196,-477,28,225,88,32,-100,157,-55,32,9,3958,2067,994
-94,-147,73,-94,-147,73,-442,509,385,88,13,-79,115,-76,59,9,4017,2101,1012
-60,-186,27,-60,-186,27,-385,875,376,105,-21,-58,79,-80,85,9,4017,2101,1012
-29,-219,-9,-29,-219,-9,-387,1139,393,127,-72,-33,36,-76,115,9,4017,2101,1012
-6,-243,-37,-6,-243,-37,-331,1291,456,150,-134,-3,-9,-59,142,9,4017,2101,1012
22,-276,-55,22,-276,-55,-100,1277,357,187,-292,66,-74,8,197,9,4017,2101,1012
29,-283,-51,29,-283,-51,73,1127,323,182,-363,100,-81,50,220,9,4017,2101,1012
24,-273,-40,24,-273,-40,223,904,291,3731,-956,-1571,-81,50,220,9,4017,2101,1012
-14,-205,6,-14,-205,6,322,660,238,315,370,-332,15,-32,204,9,4017,2101,1012
-41,-160,29,-41,-160,29,114,88,83,245,363,-270,46,0,174,9,4017,2101,1012
-41,-160,29,46,0,174,229,46,74,199,350,-206,91,22,135,9,4017,2101,1012
-106,295,-271,-106,295,-271,285,-28,40,141,226,-148,133,29,81,9,4017,2101,1012
-55,343,-234,-55,343,-234,195,-167,-28,-15,-334,-76,199,0,-15,9,4017,2101,1012
-8,374,-201,-8,374,-201,75,-157,-49,-77,-574,-70,214,-26,-54,9,4017,2101,1012
33,410,-161,33,410,-161,-68,-105,-97,-110,-639,-76,204,-78,-89,9,4017,2101,1012
63,443,-121,63,443,-121,-206,-74,-134,-117,-549,-58,178,-139,-111,9,4017,2101,1012
90,473,-49,90,473,-49,-460,-107,-140,-70,-248,-28,102,-233,-93,9,4017,2101,1012
97,458,-30,97,458,-30,-564,-138,-131,-35,-160,-52,74,-236,-55,9,4017,2101,1012
101,432,-22,101,432,-22,-658,-153,-132,-8,-130,-81,62,-208,-6,9,4017,2101,1012
104,404,-17,104,404,-17,-729,-135,-149,11,-132,-100,57,-159,45,9,4017,2101,1012
128,360,9,128,360,9,-788,-21,-176,49,-146,-108,45,-87,119,9,4017,2101,1012
151,343,35,151,343,35,-771,55,-180,56,-135,-99,41,-76,144,9,4017,2101,1012
175,326,70,175,326,70,-735,130,-174,50,-129,-91,40,-73,156,9,4017,2101,1012
197,308,113,197,308,113,-688,198,-154,33,-127,-86,44,-74,152,9,4017,2101,1012
210,287,163,210,287,163,-634,257,-123,13,-129,-81,50,-75,138,9,4017,2101,1012
213,221,256,213,221,256,-490,362,-29,-17,-145,-61,69,-69,88,9,4017,2101,1012
201,171,284,201,171,284,-403,411,21,-31,-139,-53,75,-64,61,9,4017,2101,1012
181,113,300,181,113,300,-307,454,76,-42,-120,-51,74,-63,41,9,4017,2101,1012
156,55,322,156,55,322,-203,487,127,-45,-94,-55,68,-67,29,9,4017,2101,1012
109,-34,394,109,-34,394,17,514,199,-30,-40,-55,43,-72,34,9,4017,2101,1012
97,-62,431,97,-62,431,130,508,216,-22,-6,-51,17,-69,47,9,4017,2101,1012
89,-85,462,89,-85,462,238,488,221,-15,25,-52,-12,-57,63,9,4017,2101,1012
62,-115,502,62,-115,502,415,409,186,-3,70,-53,-67,-24,94,9,4017,2101,1012
39,-117,512,39,-117,512,474,367,159,-3,70,-53,-67,-24,94,9,4017,2101,1012
11,-118,516,11,-118,516,474,367,159,-444,60,-64,181,-336,187,9,4017,2101,1012
-16,-120,514,-16,-120,514,474,367,159,-426,104,-46,178,-298,202,9,4017,2101,1012
-44,-116,507,168,-254,220,9,92,104,-390,170,-31,153,-214,238,9,4017,2101,1012
-78,164,-398,-78,164,-398,-20,19,71,-351,203,-42,141,-185,253,9,4017,2101,1012
-62,187,-451,-62,187,-451,-36,-32,58,-285,243,-66,129,-160,263,9,4017,2101,1012
-27,208,-496,-27,208,-496,-38,-65,53,-208,273,-100,116,-139,258,9,4017,2101,1012
33,219,-553,33,219,-553,-21,-83,59,-80,299,-158,110,-131,204,9,4017,2101,1012
62,235,-572,62,235,-572,0,-60,65,-18,302,-172,114,-138,164,9,4017,2101,1012
94,260,-582,94,260,-582,31,-21,67,49,306,-185,118,-148,121,9,4017,2101,1012
120,287,-585,120,287,-585,67,19,65,126,310,-191,119,-161,83,9,4017,2101,1012
160,328,-550,160,328,-550,139,84,48,251,278,-190,125,-183,31,9,4017,2101,1012
186,343,-526,186,343,-526,169,97,32,291,261,-185,124,-190,19,9,4017,2101,1012
211,353,-508,211,353,-508,203,92,19,319,246,-192,122,-191,13,9,4017,2101,1012
242,361,-496,242,361,-496,233,72,10,329,238,-190,119,-184,9,9,4017,2101,1012
283,378,-481,283,378,-481,248,41,6,322,229,-182,114,-173,10,9,4017,2101,1012
393,428,-421,393,428,-421,242,-31,14,313,226,-200,112,-142,20,9,4017,2101,1012
449,438,-369,449,438,-369,222,-67,16,352,220,-214,117,-127,32,9,4017,2101,1012
503,423,-306,503,423,-306,204,-104,23,457,138,-209,125,-114,43,9,4017,2101,1012
545,381,-239,545,381,-239,176,-141,43,681,-37,-190,135,-99,54,9,4017,2101,1012
594,249,-134,594,249,-134,35,-218,92,940,-320,-83,143,-67,82,9,4017,2101,1012
596,182,-87,596,182,-87,-51,-254,109,885,-328,-34,126,-57,103,9,4017,2101,1012
589,126,-35,589,126,-35,-126,-270,124,649,-299,53,97,-49,127,9,4017,2101,1012
561,10,68,561,10,68,-196,-212,178,278,-155,178,30,-39,169,9,4017,2101,1012
541,-49,107,541,-49,107,-214,-163,201,181,-165,86,1,-41,168,9,4017,2101,1012
513,-101,139,513,-101,139,-263,-128,216,70,-157,-14,-25,-43,150,9,4017,2101,1012
465,-142,171,465,-142,171,-344,-86,206,-36,-98,-70,-25,-43,150,9,4017,2101,1012
320,-183,262,320,-183,262,-407,-14,157,-162,3,-55,-9,86,108,9,4017,2101,1012
233,-192,331,233,-192,331,409,-805,437,-194,43,-41,51,84,131,9,4017,2101,1012
265,2999,-1905,265,2999,-1905,434,-1024,481,-217,93,-26,110,62,164,9,4017,2101,1012
265,2999,-1905,110,62,164,371,-1174,419,-220,145,-13,151,15,203,9,4017,2101,1012
-185,364,-54,-185,364,-54,-161,-1300,339,-175,255,16,145,-103,242,9,4017,2101,1012
-190,373,-70,-190,373,-70,-439,-1134,434,-133,321,38,100,-156,250,9,4017,2101,1012
-182,371,-74,-182,371,-74,-532,-880,458,-68,373,63,36,-196,256,9,4017,2101,1012
-156,355,-67,-156,355,-67,-482,-593,340,4,398,80,-40,-217,264,9,4017,2101,1012
-74,278,-45,-74,278,-45,-140,-192,51,78,411,61,-190,-166,236,9,4017,2101,1012
-26,231,-44,-26,231,-44,46,-170,-23,56,438,34,-240,-117,196,9,4017,2101,1012
16,193,-55,16,193,-55,193,-229,-36,10,467,18,-259,-78,156,9,4017,2101,1012
53,168,-83,53,168,-83,281,-309,10,0,463,-25,-260,-56,116,9,4017,2101,1012
77,158,-127,77,158,-127,318,-358,79,41,434,-81,-246,-52,77,9,4017,2101,1012
101,158,-237,101,158,-237,239,-256,132,205,322,-164,-223,-81,38,9,4017,2101,1012
124,160,-291,124,160,-291,175,-187,129,286,233,-193,-216,-112,32,9,4017,2101,1012
157,159,-338,157,159,-338,114,-126,120,347,140,-217,-211,-147,36,9,4017,2101,1012
199,152,-380,199,152,-380,52,-80,99,380,62,-226,-208,-177,46,9,4017,2101,1012
278,119,-457,278,119,-457,-48,-49,43,416,-57,-228,-184,-195,68,9,4017,2101,1012
305,93,-485,305,93,-485,-76,-54,26,415,-119,-232,-162,-182,75,9,4017,2101,1012
325,66,-503,325,66,-503,-78,-60,18,394,-186,-240,-145,-165,81,9,4056,2121,1030
356,11,-512,356,11,-512,-53,-78,16,339,-329,-250,-119,-132,84,9,4056,2121,1030
369,-30,-510,369,-30,-510,-37,-83,23,293,-401,-250,-112,-120,79,9,4056,2121,1030
377,-74,-503,377,-74,-503,-29,-87,31,239,-466,-243,-109,-113,71,9,4056,2121,1030
386,-121,-495,386,-121,-495,-24,-93,39,189,-522,-234,-112,-115,63,9,4056,2121,1030
400,-204,-459,400,-204,-459,-18,-123,46,113,-623,-207,-127,-125,50,9,4056,2121,1030
402,-231,-434,402,-231,-434,-15,-141,49,113,-623,-207,-127,-125,50,9,4056,2121,1030
395,-249,-407,395,-249,-407,-15,-160,49,113,-623,-207,48,242,17,9,4056,2121,1030
381,-268,-379,381,-268,-379,-15,-160,49,-44,143,-106,43,215,34,9,4056,2121,1030
359,-294,-352,42,196,56,627,40,-146,-13,165,-88,42,184,78,9,4056,2121,1030
-358,-122,769,-358,-122,769,630,21,-119,15,163,-84,43,177,98,9,4056,2121,1030
-321,-155,786,-321,-155,786,616,-13,-90,40,161,-85,42,174,114,9,4056,2121,1030
-270,-181,782,-270,-181,782,590,-66,-54,64,160,-80,35,170,125,9,4056,2121,1030
-141,-183,715,-141,-183,715,476,-216,38,89,164,-61,5,159,127,9,4056,2121,1030
-73,-155,668,-73,-155,668,394,-285,91,88,161,-57,-12,156,119,9,4056,2121,1030
-11,-114,618,-11,-114,618,312,-336,148,83,149,-54,-29,152,108,9,4056,2121,1030
46,-70,563,46,-70,563,238,-371,195,74,127,-58,-42,151,96,9,4056,2121,1030
95,-33,505,95,-33,505,174,-387,224,66,100,-63,-48,146,87,9,4056,2121,1030
178,29,376,178,29,376,50,-421,214,60,39,-52,-30,130,75,9,4056,2121,1030
212,63,317,212,63,317,-46,-440,204,55,18,-49,-12,116,74,9,4056,2121,1030
244,102,267,244,102,267,-123,-442,207,45,3,-46,5,99,79,9,4056,2121,1030
275,145,225,275,145,225,-194,-464,215,34,-4,-41,18,77,89,9,4056,2121,1030
350,220,149,350,220,149,-815,-477,266,37,47,-12,24,20,123,9,4056,2121,1030
