838,-156,586,342,178,39,22,229,136,-45,-16,-77,0,0,0,9,4154,2350,407
924,-74,568,368,174,7,27,182,101,-57,-26,-115,-331,44,13,9,4154,2350,407
1014,-1,572,384,178,-21,24,138,67,-66,-40,-156,-306,0,-5,9,4154,2350,407
1063,69,615,385,186,-46,18,67,15,-63,-36,-171,-283,-48,-18,9,4154,2350,407
1040,114,663,372,198,-69,24,-37,-31,-50,-11,-168,-256,-105,-18,9,4154,2350,407
754,91,702,304,224,-106,51,-261,-38,20,73,-162,-183,-235,24,9,4154,2350,407
575,54,729,255,231,-110,47,-323,8,69,107,-151,-136,-287,58,9,4154,2350,407
381,30,736,198,232,-102,40,-347,54,120,156,-123,-80,-329,84,9,4154,2350,407
213,21,723,138,226,-80,37,-324,65,160,226,-79,-8,-358,101,9,4154,2350,407
-76,-22,638,19,208,-1,25,-263,36,129,356,2,153,-381,133,9,4154,2350,407
-206,-81,584,-38,197,51,45,-262,44,97,413,27,219,-384,156,9,4154,2350,407
-349,-169,507,-89,186,109,76,-282,64,110,465,43,278,-375,183,9,4154,2350,407
-493,-278,382,-135,175,166,93,-297,90,149,484,48,326,-354,213,9,4154,2350,407
-624,-395,211,-175,161,213,91,-300,116,167,469,45,347,-315,224,9,4154,2350,407
-736,-571,-272,-237,119,246,61,-230,170,29,401,-7,249,-286,200,9,4154,2350,407
-657,-600,-538,-257,92,233,27,-202,184,-82,373,-84,208,-284,162,9,4154,2350,407
-490,-596,-764,-261,61,208,-18,-191,161,-194,334,-155,187,-275,124,9,4154,2350,407
-288,-577,-924,-249,32,175,-46,-186,128,-287,277,-184,179,-264,93,9,4154,2350,407
-110,-551,-1031,-227,2,139,-38,-185,105,-350,191,-159,189,-245,69,9,4154,2350,407
118,-503,-1172,-187,-48,64,35,-201,100,-384,20,-48,228,-166,56,9,4154,2350,407
184,-456,-1230,-175,-57,25,86,-203,136,-275,-154,-89,249,-122,60,9,4154,2350,407
212,-395,-1299,-171,-60,-9,86,-203,136,915,1769,587,265,-80,68,9,4154,2350,407
-1013,-2315,-416,785,624,3401,34,186,-55,915,1769,587,276,-39,79,9,4154,2350,407
-1013,-2315,-416,785,624,3401,97,134,-99,380,-207,-137,283,-7,86,9,4154,2350,407
726,662,764,145,344,0,237,-52,-91,382,-219,-168,-180,-13,164,9,4154,2350,407
806,720,760,144,337,0,303,-179,39,357,-209,-161,-151,-9,181,9,4154,2350,407
850,761,773,143,317,12,283,-267,177,325,-184,-134,-136,-20,183,9,4154,2350,407
849,727,841,131,279,70,118,-243,263,202,-123,-63,-112,-44,149,9,4154,2350,407
916,695,841,111,256,95,58,-160,166,97,-85,-24,-90,-67,120,9,4154,2350,407
966,688,881,93,234,112,33,-80,90,-28,-35,2,-64,-91,90,9,4154,2350,407
934,693,987,79,219,112,28,-22,84,-143,28,9,-30,-104,61,9,4154,2350,407
590,688,1172,80,222,94,33,50,113,-285,228,24,46,-120,32,9,4154,2350,407
369,640,1223,84,223,86,66,72,89,-338,362,48,85,-122,37,9,4154,2350,407
174,547,1269,84,216,76,97,63,85,-397,486,65,121,-119,50,9,4154,2350,407
-2,389,1296,75,203,63,116,53,102,-463,557,61,136,-116,71,9,4154,2350,407
-366,-104,1218,57,156,62,84,33,133,-609,479,13,125,-126,104,9,4154,2350,407
-578,-393,1075,49,131,72,76,13,135,-652,356,-13,99,-138,114,9,4154,2350,407
-804,-689,844,41,109,78,77,-18,121,-666,197,-24,62,-151,118,9,4154,2350,407
-970,-949,500,33,94,81,66,-42,103,-646,30,-15,33,-159,114,9,4154,2350,407
-1056,-1127,52,25,86,82,41,-57,94,-602,-108,-12,5,-155,101,9,4154,2350,407
-914,-1148,-909,9,65,77,15,-69,81,-506,-342,-32,-23,-136,75,9,4154,2350,407
-747,-1019,-1274,2,54,72,1,-46,78,-428,-404,-133,-31,-129,70,9,4154,2350,407
-604,-841,-1547,-6,44,62,1,-23,78,-273,-439,-242,-31,-119,65,9,4154,2350,407
-504,-655,-1765,-14,35,50,20,-14,70,-73,-416,-276,-20,-103,51,9,4154,2350,407
-463,-490,-1943,-21,27,38,53,-11,50,83,-337,-245,-4,-81,28,9,4154,2350,407
-486,-355,-2091,-30,16,27,91,-13,32,125,-165,-179,28,-53,0,9,4154,2350,407
1036,1851,20,40,375,82,50,50,94,-72,-69,-77,28,-53,0,9,4154,2350,407
846,1775,235,21,372,40,50,-12,79,-52,-36,-95,195,9,-5,9,4154,2350,407
644,1623,447,-2,352,-2,20,-98,68,-22,-10,-120,219,77,4,9,4154,2350,407
443,1456,624,-22,316,-44,-33,-167,45,-1,13,-138,224,139,12,9,4154,2350,407
206,1247,766,-34,268,-84,-82,-196,21,2,32,-147,217,197,18,9,4154,2350,407
-232,737,935,-44,138,-136,-127,-130,18,-27,78,-171,196,251,33,9,4154,2350,407
-370,527,977,-51,72,-146,-138,-75,27,-34,110,-180,192,271,33,9,4154,2350,407
-439,340,1011,-60,19,-150,-148,-22,25,-40,141,-192,196,250,30,9,4154,2350,407
-423,178,1037,-75,-29,-147,-171,0,15,-48,163,-205,187,224,19,9,4154,2350,407
-338,-225,982,-101,-111,-137,-176,-61,-17,-95,155,-210,144,182,-20,9,4154,2350,407
-364,-513,827,-112,-128,-135,-166,-127,-81,-130,108,-208,112,152,-43,9,4154,2350,407
-367,-760,584,-119,-125,-136,-171,-180,-135,-154,25,-206,84,125,-62,9,4154,2350,407
-370,-1029,226,-125,-116,-135,-197,-180,-163,-162,-72,-204,62,86,-75,9,4154,2350,407
-306,-1182,-230,-122,-103,-138,-270,-121,-127,-157,-166,-193,51,52,-68,9,4154,2350,407
-53,-1111,-1064,-118,-70,-131,-467,-22,95,-94,-263,-124,57,-27,41,9,4154,2350,407
38,-1036,-1300,-128,-68,-117,-451,-8,171,-39,-246,-81,71,-81,128,9,4154,2350,407
87,-1009,-1444,-141,-71,-94,-316,-42,172,20,-204,-39,76,-100,208,9,4154,2350,407
66,-1046,-1524,-157,-77,-62,-193,-148,160,74,-166,2,76,-73,261,9,4154,2350,407
-10,-1098,-1541,-175,-87,-20,-82,-273,178,125,-164,37,78,-12,286,9,4154,2350,407
-267,-1259,-1319,-207,-116,72,64,-346,250,169,-249,75,90,97,303,9,4154,2350,407
-344,-1308,-1059,-214,-132,114,78,-223,249,192,-292,44,89,131,295,9,4154,2350,407
-361,-1327,-758,-2148,-2923,-1126,106,-31,202,243,-309,-22,78,147,268,9,4154,2350,407
-361,-1327,-758,-2148,-2923,-1126,149,125,144,243,-309,-22,59,144,230,9,4154,2350,407
-678,627,818,-205,33,9,149,125,144,243,-309,-22,35,130,191,9,4154,2350,407
-650,600,861,-194,-15,-18,-172,-93,194,61,151,-73,34,-70,156,9,4154,2350,407
-566,451,943,-188,-45,-20,-216,-154,175,39,216,-41,37,-44,183,9,4154,2350,407
-431,328,1036,-183,-76,-16,-208,-218,148,28,244,-17,53,-20,198,9,4154,2350,407
-113,118,1098,-164,-130,0,-191,-310,98,31,193,-24,97,12,203,9,4154,2350,407
21,-50,1030,-153,-153,8,-190,-311,84,37,153,-52,119,28,187,9,4154,2350,407
157,-287,868,-143,-171,17,-184,-303,73,37,123,-82,141,36,161,9,3137,1671,422
290,-572,600,-133,-184,22,-172,-293,56,23,97,-111,154,33,131,9,3137,1671,422
532,-1076,-231,-117,-176,9,-148,-292,5,-31,113,-159,147,14,57,9,3137,1671,422
631,-1177,-785,-110,-160,-9,-118,-298,-25,-59,160,-187,124,0,23,9,3137,1671,422
685,-1115,-1321,-104,-133,-34,-42,-285,-52,-81,223,-209,98,-12,-1,9,3137,1671,422
704,-887,-1638,-97,-101,-61,53,-261,-43,-99,279,-221,70,-15,-13,9,3137,1671,422
691,-256,-1691,-85,-34,-107,77,-235,32,-108,287,-234,33,-3,7,9,3137,1671,422
643,-120,-1655,-80,-18,-119,26,-247,75,-109,237,-214,49,13,31,9,3137,1671,422
573,-141,-1595,-76,-15,-118,-13,-297,125,-119,160,-167,77,39,54,9,3137,1671,422
523,-275,-1501,-75,-16,-102,-56,-353,120,-153,58,-105,94,71,66,9,3137,1671,422
506,-471,-1345,-78,-15,-69,-120,-411,72,-224,-72,-56,95,105,69,9,3137,1671,422
530,-852,-828,-84,-12,16,-161,-286,-15,-323,-393,0,37,156,67,9,3137,1671,422
506,-948,-470,-83,-11,52,-93,-153,-15,-264,-501,-1,0,177,84,9,3137,1671,422
422,-953,-83,-78,-12,75,49,24,23,-166,-524,-31,-35,193,115,9,3137,1671,422
331,-892,210,-72,-17,86,205,186,93,-71,-466,-72,-62,203,154,9,3137,1671,422
284,-785,374,-66,-26,96,273,293,153,-10,-361,-119,-78,207,186,9,3137,1671,422
281,-669,484,-61,-35,111,246,377,164,15,-244,-171,-69,193,196,9,3137,1671,422
-127,-37,373,-61,-173,86,-37,20,125,75,-186,50,-69,193,196,9,3137,1671,422
-71,-100,339,-47,-190,118,-28,35,124,97,-250,41,71,-78,202,9,3137,1671,422
0,-173,307,-48,-172,142,-26,25,128,104,-318,8,65,-82,201,9,3137,1671,422
66,-243,291,-64,-139,157,-17,-8,129,96,-343,-56,68,-80,197,9,3137,1671,422
124,-309,271,-86,-100,163,-16,-62,129,93,-316,-112,78,-73,188,9,3137,1671,422
234,-377,164,-126,-38,142,-56,-139,132,87,-162,-97,97,-48,161,9,3137,1671,422
320,-393,59,-133,-25,122,-97,-124,115,57,-95,-48,98,-33,152,9,3137,1671,422
405,-394,-98,-131,-24,102,-126,-62,104,-2,-48,-4,96,-20,149,9,3137,1671,422
445,-359,-289,-117,-35,84,-127,12,112,-94,-23,14,93,-10,156,9,3137,1671,422
432,-187,-659,-78,-48,62,-112,60,151,-307,-10,-32,82,8,173,9,3137,1671,422
411,-72,-819,-68,-46,60,-97,19,157,-394,-5,-57,78,17,170,9,3137,1671,422
383,40,-952,-65,-42,63,-50,-25,146,-440,10,-74,73,32,158,9,3137,1671,422
358,129,-1047,-68,-38,70,17,-59,124,-431,36,-83,65,51,142,9,3137,1671,422
359,158,-1099,-78,-31,77,82,-84,103,-370,63,-81,54,72,125,9,3137,1671,422
466,31,-1081,-107,-24,93,143,-127,94,-158,79,-80,18,98,90,9,3137,1671,422
573,-98,-971,-117,-29,97,148,-135,99,-61,53,-90,-3,102,80,9,3137,1671,422
669,-226,-796,-121,-37,94,156,-153,96,8,16,-104,-26,104,70,9,3137,1671,422
718,-293,-601,-119,-46,89,172,-179,84,50,-17,-119,-52,101,57,9,3137,1671,422
707,-302,-403,-109,-57,77,192,-196,58,66,-46,-121,-74,92,45,9,3137,1671,422
587,-313,-48,-53,-74,25,177,-178,-6,49,-87,-110,-98,73,16,9,3137,1671,422
500,-310,95,-13,-81,-6,141,-158,-27,57,-81,-119,-102,61,0,9,3137,1671,422
407,-268,203,25,-84,-35,1363,-1520,60,57,-81,-119,-100,44,-16,9,3137,1671,422
321,-211,284,25,-84,-35,1363,-1520,60,-38,-360,-218,-97,27,-32,9,3137,1671,422
321,-211,284,-58,-2,71,-12,-19,63,-25,-383,-218,-97,27,-32,9,3137,1671,422
-141,335,344,-77,20,53,-39,71,48,123,-274,-190,-73,117,-39,9,3137,1671,422
90,218,101,-83,21,41,-77,136,33,204,-179,-166,-43,105,-21,9,3137,1671,422
333,124,-118,-87,14,22,-123,204,24,269,-79,-137,-7,92,2,9,3137,1671,422
547,55,-407,-88,3,2,-188,273,16,310,18,-110,28,79,32,9,3137,1671,422
673,-18,-814,-88,-7,-16,-236,315,18,324,108,-94,61,70,63,9,3137,1671,422
638,-160,-1591,-74,-16,-35,-293,388,51,278,246,-48,95,59,110,9,3137,1671,422
488,-197,-1836,-57,-13,-31,-295,389,59,224,277,-21,95,52,118,9,3137,1671,422
243,-156,-1874,-34,-8,-18,-268,358,55,153,277,-6,91,46,118,9,3137,1671,422
73,-74,-1733,-8,-3,4,-235,333,55,75,260,-10,85,41,117,9,3137,1671,422
19,-22,-1529,22,-1,29,-209,307,60,-1,218,-19,80,41,119,9,3137,1671,422
94,-53,-1236,93,-6,78,-199,264,52,-131,58,-18,72,49,134,9,3137,1671,422
145,-75,-1151,129,-7,90,-206,274,46,-168,-36,9,73,46,138,9,3137,1671,422
264,-70,-1042,153,-6,89,-225,295,41,-211,-109,-17,74,38,142,9,3137,1671,422
442,-42,-853,160,-5,78,-258,300,42,-244,-141,-54,72,28,146,9,3137,1671,422
658,-41,-563,152,-7,64,-283,270,60,-275,-145,-54,69,17,147,9,3137,1671,422
743,-96,136,100,-22,38,-285,205,112,-273,-134,-1,64,6,134,9,3137,1671,422
634,-69,388,65,-35,28,-246,118,113,-249,-117,-7,67,5,123,9,3137,1671,422
561,-22,550,26,-53,15,-206,27,94,-210,-133,-19,75,6,114,9,3137,1671,422
515,17,580,-15,-76,0,-176,-53,92,-210,-133,-19,85,10,108,9,3137,1671,422
489,48,535,-15,-76,0,-176,-53,92,-41,24,-27,92,14,104,9,3137,1671,422
-447,-89,433,62,-218,29,-56,105,48,-317,-20,-19,-61,-6,122,9,3137,1671,422
-391,-42,417,86,-180,28,-134,51,87,-411,-56,-19,-40,12,149,9,3137,1671,422
-306,20,412,109,-132,35,-199,35,103,-468,-76,-38,-25,28,180,9,3137,1671,422
-279,74,299,143,-20,55,-217,97,83,-502,-23,-62,-17,42,216,9,3137,1671,422
-277,81,228,154,33,62,-168,89,54,-489,10,-68,-19,50,211,9,3137,1671,422
-227,94,168,160,82,66,-149,52,29,-465,20,-76,-20,59,190,9,3137,1671,422
-136,113,101,163,124,61,-148,7,20,-447,7,-82,-20,64,159,9,3137,1671,422
55,129,-102,160,168,32,-77,-16,-31,-375,-48,-86,-19,54,101,9,3137,1671,422
158,160,-227,155,174,10,-44,24,-18,-312,-71,-87,-20,42,87,9,3137,1671,422
256,204,-398,147,177,-9,0,60,16,-235,-81,-79,-26,30,84,9,3137,1671,422
333,228,-622,132,182,-20,58,64,72,-140,-73,-62,-31,15,85,9,3137,1671,422
348,147,-1113,87,196,0,113,38,156,91,-55,-26,-34,-13,103,9,3137,1671,422
299,47,-1310,55,200,31,95,16,177,209,-67,-26,-32,-23,118,9,3255,1749,436
190,-73,-1413,24,200,67,51,-26,184,298,-79,-44,-25,-25,130,9,3255,1749,436
59,-163,-1388,1,192,100,-11,-81,162,348,-68,-72,-20,-24,134,9,3255,1749,436
-15,-190,-1291,-10,169,128,-88,-130,124,366,-31,-109,-15,-19,126,9,3255,1749,436
6,-94,-1113,-11,79,153,-143,-153,44,306,91,-107,-17,-5,83,9,3255,1749,436
30,-17,-1062,-9,23,143,-110,-132,11,251,140,-64,-24,1,58,9,3255,1749,436
34,71,-997,-12,-26,118,-71,-121,-1,204,186,-55,-31,9,39,9,3255,1749,436
18,163,-891,-20,-69,83,-63,-119,12,143,217,-111,-36,12,33,9,3255,1749,436
7,257,-747,-34,-106,43,-87,-119,45,73,220,-168,-42,14,37,9,3255,1749,436
-2209,1350,-3507,-52,-137,5,-109,-120,88,-8,203,-186,-47,5,59,9,3255,1749,436
